;;;;;;;;;;;;;
Bollettino elaborato il 20 marzo 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori minimi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelfranco Veneto;;;;;;;;;;;;;
Coordinata X 1729533 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5064401 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 49 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m ( C) media delle minime;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;-0.5;-1.4;4.1;5.6;11.5;14.9;17.3;17.1;13.6;6.8;5.6;-0.1;7.9
1995;-4.1;-0.4;1.1;4.8;10.5;13.5;17.9;15.1;10.5;6.7;1.3;1;6.5
1996;0.8;-2.6;0.2;6.8;11.2;14.4;14.4;14.7;9.9;7.7;4.2;-1.2;6.7
1997;-0.4;-1.5;0.9;2.9;10.6;14.5;14.5;15.9;11.7;6.1;3.8;0.8;6.6
1998;-0.7;-1.9;0.1;6.6;10.8;14.8;16.4;16.1;11.9;7.1;-0.7;-4.6;6.3
1999;-3.6;-4.7;2.1;6.6;12.7;13.6;15.8;16.1;13.1;8.3;1.8;-3.1;6.6
2000;-5.6;-2.5;1.9;8.5;11.9;14.4;14.6;15.9;12;9.8;4.9;1.1;7.2
2001;1;-1;5.5;5.2;13.1;12.5;16.4;16.6;9.6;11;1.6;-5;7.2
2002;-4.8;1.6;3.8;7.3;12.4;16.4;16.8;16.2;12.5;8.8;6.7;2.2;8.3
2003;-1.1;-4.5;1.7;6.3;12.6;18.1;17.8;19.4;11.4;6.7;5.8;-0.1;7.8
2004;-2.2;-0.8;3.1;7.9;9.9;15;16.2;16.6;12.1;12.1;2.9;0.1;7.7
2005;-3.7;-3.7;1.5;6.2;11.9;15.4;16.9;14.6;13.8;9.2;3.1;-2.4;6.9
2006;-3.2;-1.1;2.1;6.9;11.2;14.6;18.5;14.4;13.6;9.6;3.8;0.6;7.6
2007;0.6;2;4.3;8.9;12.6;16;16;15.8;10.9;7.1;1.7;-2.1;7.8
2008;1;-0.8;2.8;6.6;12.1;16.2;16.6;16.8;12.1;8.4;4.1;0.5;8
2009;-1.1;-0.5;2.7;8.5;13.2;14.6;16.7;17.8;13.9;7.9;5.7;-1.1;8.2
2010;-2;0.5;2.8;6.9;11.4;15.6;17.9;15.6;11.6;6.7;5.3;-1.1;7.6
2011;-1.1;-0.1;3.5;8.1;11.6;15.6;16.5;17.9;15.8;7.1;2.6;-0.1;8.1
2012;-3.2;-3.7;4.2;7.8;11.6;16.6;18.2;17.9;13.9;10;5.8;-1.3;8.2
2013;0.7;-0.2;3.9;9;11;15.2;18.6;17.2;13.6;11.4;5.6;0.8;8.9
2014;3.5;4.5;5.2;9.2;11;15.5;16.9;15.9;13.5;10.8;8.1;2.6;9.7
2015;-0.6;1.4;3.9;6.7;13.1;16;19.8;17.8;13.6;9.2;3.2;-0.6;8.6
2016;-1.5;3.3;4.5;8.8;11.3;15.7;18.2;16.2;14.5;8.9;5.1;-1.5;8.6
2017;-4.9;2.3;4.6;7.7;12.5;16.9;17.3;17.5;12.2;7.6;2.8;-2;7.9
2018;1.3;0.3;3.3;9.9;14.3;16.7;18.5;18.7;14.5;10.3;7;-1.2;9.5
2019;-2.9;0.3;2.9;8.4;10.7;18.3;18.4;18.5;13.5;10.7;6.8;1.4;8.9
2020;-1.6;1.2;3.9;6.6;11.9;15.2;17.4;18.1;14.3;8.2;2.9;2.1;8.4
2021;-1.9;2.2;1.2;5.7;10.2;16.7;17.9;16.3;13.4;7.4;4.9;-0.3;7.8
2022;-2.3;-0.2;1.1;5.4;13.4;17.2;19;18.1;13.3;11.1;4.8;2.4;8.6
2023;1.4;-0.2;4.1;6.4;13;16.2;18.1;18;15.3;11.5;2.7;0.7;8.9
Medio mensile;-1.4;-0.4;2.9;7.1;11.8;15.5;17.2;16.8;12.9;8.8;4.1;-0.4;7.9
;;;;;;;;;;;;;
Il valore mensile   il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile   il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale   il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non   disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino elaborato il 20 marzo 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori medi mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Castelfranco Veneto;;;;;;;;;;;;;
Coordinata X 1729533 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5064401 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 49 m s.l.m.;;;;;;;;;;;;;
Parametro Temperatura aria a 2m ( C) media delle medie;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Medio
;;;;;;;;;;;;;annuale
1994;4.1;3.3;10.3;11.2;17.2;20.9;24.6;24.2;18.6;12.3;9;3.4;13.3
1995;1;4.6;7;11.1;16.3;18.9;24.7;21.2;16.4;13.3;6.4;4.1;12.1
1996;3.9;2.3;6;12.6;17.3;21.5;21;21;15.5;12.3;8.2;2.7;12
1997;3.8;4.1;9.2;10.7;17.7;20.1;21.9;22.1;18.8;12.1;7.8;4.3;12.7
1998;3.2;5.1;7.3;11.6;17.9;21.5;23.6;23.7;17.7;12.2;4.9;0.7;12.4
1999;1.7;1.8;8.3;12.9;18.5;20.8;23;22.4;19.8;13.4;6.1;1.5;12.5
2000;-0.2;3.7;8;14.5;19.1;22.4;21.6;23.7;18.9;14.1;9;5.2;13.3
2001;4.4;4.9;10;11.7;19.9;20.3;23.2;24;16;15.8;6.4;0.1;13.1
2002;0.5;5.3;10.4;12.6;17.8;22.6;22.8;22.1;17.8;13.6;10.4;5.5;13.4
2003;2.6;1.9;8.8;12;20.3;25.3;24.9;27;17.9;11.6;9.4;4.5;13.8
2004;1.6;2.9;7.6;12.9;15.7;21;23.1;23.1;18.4;15.4;7.7;4.5;12.8
2005;0.7;1.6;7.4;11.6;18.3;22.1;23.2;20.4;19;13.2;6.8;2;12.2
2006;1;3.3;6.9;13;17.2;21.8;25.7;20;19.7;14.8;8.6;4.8;13.1
2007;4.7;6.7;9.8;16.1;18.9;22;23.7;22;17;12.4;6.6;2.3;13.5
2008;4.4;4;7.8;12;17.9;21.8;23.4;23.4;17.6;14;8;3.9;13.2
2009;2.5;4.2;8.4;14.2;20;21;23.5;24.8;20.1;13.3;9;2.9;13.7
2010;1.5;4.3;7.7;13.6;17.1;21.6;24.5;21.9;17.2;12;8.9;2.4;12.7
2011;2.2;4.8;8.9;15.5;19.7;21.7;22.6;25;21.9;13;7.5;4.3;13.9
2012;1.6;1.9;11.4;12.6;17.9;22.9;24.9;25.2;19.4;14.2;9.7;2.3;13.7
2013;3.9;3.8;7.5;13.6;16;21.6;25.3;23.8;19.2;14.8;9.3;4.6;13.6
2014;6.2;8;10.8;14.7;17.1;21.9;22.1;21.1;18.4;15.4;11.3;5.8;14.4
2015;3.9;5.6;9.3;13.1;18.2;22.3;26.3;24.2;18.9;13.5;7.6;3.6;13.9
2016;2.5;7;9.4;14.2;16.8;21.4;24.8;22.9;20.7;13.2;8.7;3.1;13.7
2017;0.1;6.2;11;13.7;18.2;23.4;24.1;24.9;17;13;7.3;2.3;13.4
2018;5;3.7;7.2;16;19.7;22.8;24.4;24.9;20.3;15.4;10.2;3;14.4
2019;1.8;5.9;9.7;13;14.6;25.1;24.5;24.4;19.1;15;9.9;5.3;14
2020;3.1;6.7;9;14.2;17.8;20.7;24;24.1;19.9;12.8;7.8;5.2;13.8
2021;2.2;6.7;8.1;11.5;15.5;23.7;24.2;22.9;19.9;12.7;8.8;3.4;13.3
2022;2.3;5.5;7.9;11.6;19.7;24.4;26.6;24.8;18.7;16.5;9.4;5.5;14.4
2023;5.2;4.8;10;11.9;17.9;22.5;24.4;24.2;21.4;16.5;7.7;4.8;14.3
Medio mensile;2.7;4.5;8.7;13;17.9;22;23.9;23.3;18.7;13.7;8.3;3.6;13.4
;;;;;;;;;;;;;
Il valore mensile   il valore medio delle medie giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile   il valore medio dei valori mensili.;;;;;;;;;;;;;
Il valore medio annuale   il valore medio dei valori mensili dell'anno.;;;;;;;;;;;;;
Con valore >> il dato non   disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
